"Local Authorities","Name","12 Year Olds - Average Number of Carious Teeth (DMFT)(FY 00/01)","Numerator","12 Year Olds - Average Number of Carious Teeth (DMFT)(FY 04/05)","Numerator","12 Year Olds - Average Number of Carious Teeth (DMFT)(FY 08/09)","Numerator","12 Year Olds - Percentage Children with Carious Teeth (DMFT)(FY 00/01)","Numerator","12 Year Olds - Percentage Children with Carious Teeth (DMFT)(FY 04/05)","Numerator","12 Year Olds - Percentage Children with Carious Teeth (DMFT)(FY 08/09)","Numerator","12 Year Olds - Average Number of Decayed Teeth(FY 00/01)","Numerator","12 Year Olds - Average Number of Decayed Teeth(FY 04/05)","Numerator","12 Year Olds - Average Number of Decayed Teeth(FY 08/09)","Numerator","12 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 00/01)","Numerator","12 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 04/05)","Numerator","12 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 08/09)","Numerator","12 Year Olds - Percentage Children with Decayed Teeth(FY 00/01)","Numerator","12 Year Olds - Percentage Children with Decayed Teeth(FY 04/05)","Numerator","12 Year Olds - Percentage Children with Decayed Teeth(FY 08/09)","Numerator","12 Year Olds - Average Number of Filled Teeth(FY 00/01)","Numerator","12 Year Olds - Average Number of Filled Teeth(FY 04/05)","Numerator","12 Year Olds - Average Number of Filled Teeth(FY 08/09)","Numerator","12 Year Olds - Average Number of Missing Teeth(FY 00/01)","Numerator","12 Year Olds - Average Number of Missing Teeth(FY 04/05)","Numerator","12 Year Olds - Average Number of Missing Teeth(FY 08/09)","Numerator","12 Year Olds - Care Index(FY 00/01)","Numerator","12 Year Olds - Care Index(FY 04/05)","Numerator","12 Year Olds - Care Index(FY 08/09)","Numerator",
"00NA","Isle of Anglesey","1.1","191","1.2","143","0.7","139","46.1","191","47.6","143","33.0","139","0.3","191","0.5","143","0.3","139","1.5","41","1.9","39","1.8","24","21.5","191","27.3","143","16.8","139","0.6","191","0.5","143","0.3","139","0.1","191","0.1","143","0.0","139","59.8","191","43.1","143","51.0","139",
"00NC","Gwynedd","1.2","304","1.1","297","0.9","253","48.4","304","45.1","297","40.2","253","0.4","304","0.5","297","0.3","253","1.6","71","1.8","79","1.8","48","23.4","304","26.6","297","18.9","253","0.7","304","0.5","297","0.4","253","0.1","304","0.1","297","0.1","253","57.9","304","45.9","297","48.3","253",
"00NE","Conwy","1.0","263","0.9","177","1.2","137","45.2","263","35.6","177","40.9","137","0.3","263","0.5","177","0.6","137","1.5","46","2.1","42","2.1","40","17.5","263","23.7","177","29.3","137","0.7","263","0.3","177","0.4","137","0.1","263","0.0","177","0.2","137","66.9","263","39.4","177","35.8","137",
"00NG","Denbighshire","1.1","196","0.9","153","0.9","266","46.9","196","38.6","153","43.0","266","0.4","196","0.4","153","0.4","266","1.8","44","1.5","35","1.6","65","22.5","196","22.9","153","23.8","266","0.6","196","0.4","153","0.4","266","0.2","196","0.2","153","0.1","266","49.1","196","37.8","153","44.0","266",
"00NJ","Flintshire","1.2","435","1.0","309","0.8","229","49.2","435","41.7","309","35.9","229","0.4","435","0.3","309","0.2","229","1.7","104","1.7","58","1.4","31","23.9","435","18.8","309","13.5","229","0.6","435","0.5","309","0.4","229","0.1","435","0.2","309","0.1","229","54.0","435","52.6","309","56.0","229",
"00NL","Wrexham","1.2","319","1.2","230","1.0","242","49.2","319","48.3","230","43.1","242","0.3","319","0.6","230","0.3","242","1.7","60","2.0","67","1.6","46","18.8","319","29.1","230","18.4","242","0.8","319","0.5","230","0.6","242","0.1","319","0.1","230","0.2","242","63.7","319","44.2","230","54.5","242",
"00NN","Powys","1.2","349","1.1","330","0.8","268","52.1","349","43.9","330","40.2","268","0.5","349","0.4","330","0.4","268","1.8","103","1.8","82","1.8","52","29.4","349","24.9","330","19.3","268","0.7","349","0.6","330","0.4","268","0.0","349","0.1","330","0.1","268","54.3","349","52.3","330","45.5","268",
"00NQ","Ceredigion","1.5","341","1.1","143","0.6","136","52.6","341","49.0","143","31.0","136","0.7","341","0.5","143","0.2","136","2.0","111","1.6","46","1.5","14","32.6","341","32.2","143","10.1","136","0.8","341","0.5","143","0.4","136","0.1","341","0.1","143","0.1","136","50.5","341","44.7","143","64.3","136",
"00NS","Pembrokeshire","1.2","312","1.1","284","0.9","225","49.7","312","46.5","284","35.6","225","0.7","312","0.6","284","0.4","225","2.0","104","1.9","90","2.3","38","33.5","312","31.7","284","16.5","225","0.5","312","0.5","284","0.4","225","0.0","312","0.1","284","0.1","225","42.9","312","40.2","284","47.0","225",
"00NU","Carmarthenshire","1.8","445","0.8","434","0.8","404","60.5","445","36.6","434","35.8","404","0.9","445","0.3","434","0.4","404","2.0","199","1.6","71","1.7","83","44.7","445","16.4","434","20.7","404","0.7","445","0.4","434","0.4","404","0.2","445","0.1","434","0.0","404","40.2","445","52.9","434","48.1","404",
