"ï»¿""Local Authorities""",Name,5 Year Olds - Average Number of Filled Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Filled Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Filled Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Filled Teeth(FY 05/06),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Missing Teeth(FY 05/06),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Decayed Teeth(FY 05/06),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 99/00),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 01/02),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 03/04),Numerator,5 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 05/06),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 99/00),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 01/02),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 03/04),Numerator,5 Year Olds - Percentage Children with Decayed Teeth(FY 05/06),Numerator,5 Year Olds - Care Index(FY 99/00),Numerator,5 Year Olds - Care Index(FY 01/02),Numerator,5 Year Olds - Care Index(FY 03/04),Numerator,5 Year Olds - Care Index(FY 05/06),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 99/00),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 01/02),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 03/04),Numerator,5 Year Olds - Average Number of Carious Teeth (dmft)(FY 05/06),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 99/00),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 01/02),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 03/04),Numerator,5 Year Olds - Percentage Children with Carious Teeth (dmft)(FY 05/06),Numerator
00NA,Isle of Anglesey,0.4,433,0.2,433,0.4,344,0.2,361,0.4,433,0.5,433,0.6,344,0.5,361,1.4,433,1.4,433,1.6,344,1.2,361,3.2,195,3.2,195,3.4,155,3.3,132,44.9,433,45.1,433,45.1,344,36.6,361,17,433,11.1,433,17.2,344,10.1,361,2.2,433,2.2,433,2.6,344,1.8,361,51.1,433,51.4,433,55.5,344,42,361
00NC,Gwynedd,0.3,899,0.3,832,0.4,885,0.3,850,0.2,899,0.5,832,0.4,885,0.3,850,1.8,899,1.4,832,1.7,885,1.8,850,3.7,444,3.1,382,3.6,423,3.9,386,49.4,899,45.9,832,47.8,885,45.4,850,13,899,13,832,14.4,885,10.7,850,2.4,899,2.2,832,2.4,885,2.3,850,55.1,899,52.6,832,52.8,885,49.9,850
00NE,Conwy,0.2,477,0.2,470,0.2,486,0.2,446,0.4,477,0.3,470,0.4,486,0.3,446,1.2,477,1.5,470,1.6,486,1.2,446,3.2,175,3.4,203,3.7,215,3.2,160,36.7,477,43.2,470,44.2,486,35.8,446,12.4,477,10.7,470,9.9,486,10.6,446,1.8,477,2,470,2.2,486,1.6,446,43.2,477,46.1,470,50.2,486,41.3,446
00NG,Denbighshire,0.2,408,0.2,411,0.2,373,0.2,371,0.4,408,0.3,411,0.4,373,0.5,371,1.1,408,1.2,411,1.5,373,1.2,371,3.1,146,3.2,157,3.4,167,2.8,158,35.8,408,38.1,411,44.8,373,42.5,371,13.9,408,13.2,411,10.9,373,9.1,371,1.7,408,1.7,411,2.1,373,1.8,371,43.3,408,43.4,411,50.7,373,47.3,371
00NJ,Flintshire,0.2,777,0.2,741,0.1,738,0.2,679,0.4,777,0.3,741,0.3,738,0.4,679,1.2,777,1,741,1.1,738,1.2,679,3,301,2.7,262,3.1,250,3.2,263,38.8,777,35.3,741,33.9,738,38.8,679,11.9,777,14.2,741,8.8,738,10,679,1.8,777,1.5,741,1.5,738,1.8,679,45,777,41.1,741,39,738,45.4,679
00NL,Wrexham,0.3,445,0.2,446,0.2,429,0.2,385,0.4,445,0.4,446,0.5,429,0.4,385,1.3,445,1.4,446,2.1,429,1.4,385,3,187,3.2,191,3.7,244,3.3,161,42,445,42.9,446,56.9,429,41.9,385,15.6,445,10.9,446,8.1,429,8.6,385,1.9,445,2,446,2.8,429,2,385,50.7,445,49.4,446,61.5,429,46.5,385
00NN,Powys,0.2,496,0.3,455,0.3,549,0.3,440,0.3,496,0.2,455,0.2,549,0.2,440,1.4,496,1.5,455,1.3,549,1.7,440,3.2,222,3.1,214,2.9,248,3.6,204,44.7,496,47.1,455,45.2,549,46.4,440,10.8,496,16.6,455,14.8,549,12.2,440,1.9,496,2,455,1.8,549,2.1,440,48.4,496,48.9,455,48.5,549,50.2,440
00NQ,Ceredigion,0.3,233,0.3,212,0.3,202,0.2,189,0.4,233,0.2,212,0.3,202,0.2,189,1.9,233,1.5,212,1.6,202,1.3,189,3.8,117,3.5,93,3.5,92,3.2,78,50.4,233,43.7,212,45.5,202,41.2,189,12.7,233,13.1,212,15.1,202,10,189,2.6,233,2,212,2.2,202,1.7,189,56.9,233,47.9,212,48,202,44.7,189
00NS,Pembrokeshire,0.4,391,0.3,333,0.1,328,0.2,396,0.2,391,0.2,333,0.2,328,0.2,396,1.7,391,1.4,333,1.8,328,1.9,396,3.5,196,3,155,4,151,4.2,177,50.1,391,46.7,333,46,328,44.7,396,15.8,391,16.1,333,3.9,328,7.6,396,2.3,391,1.9,333,2.1,328,2.3,396,54.9,391,50.6,333,47,328,48.3,396
00NU,Carmarthenshire,0.3,523,0.3,414,0.2,437,0.2,442,0.3,523,0.3,414,0.5,437,0.5,442,1.9,523,2,414,2.1,437,1.5,442,3.5,284,4,205,4.1,229,3.2,205,54.3,523,49.5,414,52.4,437,46.4,442,10,523,10.4,414,7.8,437,8.4,442,2.5,523,2.5,414,2.8,437,2.2,442,59.3,523,54.1,414,57.9,437,49.9,442
