"Local Authorities","Name","14 Year Olds - Average Number of Carious Teeth (DMFT)(FY 98/99)","Numerator","14 Year Olds - Average Number of Carious Teeth (DMFT)(FY 02/03)","Numerator","14 Year Olds - Percentage Children with Carious Teeth (DMFT)(FY 98/99)","Numerator","14 Year Olds - Percentage Children with Carious Teeth (DMFT)(FY 02/03)","Numerator","14 Year Olds - Average Number of Decayed Teeth(FY 98/99)","Numerator","14 Year Olds - Average Number of Decayed Teeth(FY 02/03)","Numerator","14 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 98/99)","Numerator","14 Year Olds - Average Number of Decayed Teeth of those with Decayed Teeth(FY 02/03)","Numerator","14 Year Olds - Percentage Children with Decayed Teeth(FY 98/99)","Numerator","14 Year Olds - Percentage Children with Decayed Teeth(FY 02/03)","Numerator","14 Year Olds - Average Number of Filled Teeth(FY 98/99)","Numerator","14 Year Olds - Average Number of Filled Teeth(FY 02/03)","Numerator","14 Year Olds - Average Number of Missing Teeth(FY 98/99)","Numerator","14 Year Olds - Average Number of Missing Teeth(FY 02/03)","Numerator","14 Year Olds - Care Index(FY 98/99)","Numerator","14 Year Olds - Care Index(FY 02/03)","Numerator",
"00NA","Isle of Anglesey","2.0","652","2.0","180","58.9","652","59.2","180","0.6","652","0.7","180","2.2","177","2.4","51","27.1","652","28.2","180","1.2","652","1.2","180","0.2","652","0.2","180","61.7","652","58.1","180",
"00NC","Gwynedd","2.5","1070","2.2","282","66.3","1070","60.7","282","0.7","1070","0.6","282","2.1","368","2.3","80","34.4","1070","28.4","282","1.6","1070","1.4","282","0.2","1070","0.1","282","63.8","1070","64.4","282",
"00NE","Conwy","2.0","862","1.4","242","61.0","862","49.3","242","0.4","862","0.3","242","2.0","188","2.0","40","21.8","862","16.5","242","1.4","862","0.9","242","0.2","862","0.2","242","69.0","862","63.9","242",
"00NG","Denbighshire","2.2","706","1.8","210","60.9","706","57.5","210","0.4","706","0.4","210","2.1","143","1.7","48","20.3","706","22.9","210","1.5","706","1.2","210","0.2","706","0.2","210","68.7","706","65.8","210",
"00NJ","Flintshire","2.2","1596","2.0","397","63.0","1596","58.8","397","0.5","1596","0.6","397","2.1","387","2.1","113","24.2","1596","28.4","397","1.5","1596","1.1","397","0.3","1596","0.2","397","66.5","1596","57.8","397",
"00NL","Wrexham","2.6","1068","2.0","269","67.8","1068","61.3","269","0.9","1068","0.6","269","2.4","379","2.0","74","35.5","1068","27.5","269","1.5","1068","1.3","269","0.2","1068","0.2","269","58.1","1068","62.6","269",
"00NN","Powys","2.3","1187","2.4","300","63.4","1187","65.8","300","0.7","1187","0.9","300","2.1","402","2.2","128","33.9","1187","42.7","300","1.4","1187","1.4","300","0.2","1187","0.1","300","61.3","1187","55.9","300",
"00NQ","Ceredigion","2.3","629","2.1","170","61.8","629","53.6","170","0.9","629","0.8","170","2.4","245","2.0","62","39.0","629","36.5","170","1.2","629","1.2","170","0.1","629","0.1","170","52.0","629","57.7","170",
"00NS","Pembrokeshire","2.3","1194","2.0","221","61.6","1194","58.6","221","0.8","1194","0.5","221","2.4","387","2.1","47","32.4","1194","21.3","221","1.4","1194","1.5","221","0.1","1194","0.1","221","60.5","1194","74.5","221",
"00NU","Carmarthenshire","2.7","1667","2.1","425","68.5","1667","60.0","425","1.0","1667","0.7","425","2.4","661","2.3","135","39.7","1667","31.8","425","1.5","1667","1.2","425","0.2","1667","0.1","425","56.1","1667","58.7","425",
"00NX","Swansea","2.1","1954","2.6","522","59.1","1954","60.5","522","0.6","1954","0.4","522","2.1","533","2.1","101","27.3","1954","19.3","522","1.3","1954","2.0","522","0.2","1954","0.2","522","63.4","1954","77.9","522",
"00NZ","Neath Port Talbot","2.5","1472","2.5","385","67.5","1472","64.9","385","0.9","1472","0.7","385","2.4","569","2.3","116","38.7","1472","30.1","385","1.4","1472","1.6","385","0.2","1472","0.2","385","54.4","1472","62.8","385",
"00PB","Bridgend","2.2","1241","1.6","353","62.2","1241","51.0","353","0.6","1241","0.5","353","1.9","378","1.9","98","30.5","1241","27.8","353","1.3","1241","0.9","353","0.3","1241","0.2","353","61.3","1241","53.8","353",
"00PD","The Vale of Glamorgan","1.5","521","1.5","277","52.9","521","50.8","277","0.3","521","0.4","277","1.6","84","1.9","55","16.2","521","19.9","277","1.0","521","0.9","277","0.2","521","0.2","277","68.8","521","59.6","277",
"00PF","Rhondda Cynon Taff","2.3","1075","2.1","622","69.7","1075","60.4","622","0.5","1075","0.5","622","1.8","290","2.0","171","26.9","1075","27.5","622","1.6","1075","1.4","622","0.2","1075","0.2","622","69.4","1075","65.2","622",
"00PH","Merthyr Tydfil","2.8","261","2.8","132","71.3","261","74.7","132","0.8","261","1.0","132","2.4","84","2.7","49","32.1","261","37.1","132","1.7","261","1.5","132","0.3","261","0.3","132","61.1","261","54.1","132",
"00PK","Caerphilly","2.9","397","2.9","302","72.5","397","72.4","302","0.9","397","1.1","302","2.2","156","2.5","132","39.3","397","43.7","302","1.5","397","1.6","302","0.5","397","0.3","302","53.9","397","54.1","302",
"00PL","Blaenau Gwent","3.5","171","2.9","124","81.6","171","77.6","124","1.3","171","1.3","124","2.3","96","2.3","69","56.3","171","55.6","124","1.8","171","1.3","124","0.4","171","0.3","124","50.2","171","45.2","124",
"00PM","Torfaen","3.0","212","2.5","89","77.2","212","67.4","89","1.1","212","0.9","89","2.4","99","2.1","37","46.9","212","41.6","89","1.4","212","1.3","89","0.5","212","0.3","89","46.3","212","52.5","89",
"00PP","Monmouthshire","2.3","204","2.2","161","68.8","204","57.8","161","0.7","204","0.8","161","1.9","77","2.1","61","37.7","204","37.9","161","1.2","204","1.3","161","0.4","204","0.1","161","53.2","204","57.5","161",
"00PR","Newport","1.9","322","2.1","152","59.7","322","68.3","152","0.4","322","0.6","152","1.5","86","1.8","54","26.8","322","35.5","152","1.1","322","1.2","152","0.4","322","0.2","152","58.3","322","59.4","152",
"00PT","Cardiff","1.7","1401","1.4","578","50.3","1401","46.6","578","0.3","1401","0.3","578","1.9","216","1.7","96","15.4","1401","16.6","578","1.2","1401","1.0","578","0.2","1401","0.1","578","72.4","1401","70.9","578",
"Wales","Wales","2.3","19863","2.1","6393","62.9","19863","59.8","6393","0.6","19863","0.6","6393","2.1","5840","2.1","1860","29.4","19863","29.1","6393","1.4","19863","1.3","6393","0.2","19863","0.2","6393","61.8","19863","61.7","6393",
