"Local Authorities","Name","Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2003-2005)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2006-2008)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2009-2011)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2002-2003)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2004-2005)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2006-2007)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2008-2009)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2010-2011)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2003-2005)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2006-2008)","Numerator","Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2009-2011)","Numerator",
"00NA","Isle of Anglesey","6.89","14","6.74","14","6.66","16","10.95","13","8.98","12","6.52","11","13.89","20","7.95","12","10.53","19","9.14","23","9.65","20",
"00NC","Gwynedd","9.45","36","5.52","21","5.06","18","10.45","25","9.08","21","5.52","13","7.77","18","9.80","25","10.70","37","6.52","23","8.86","33",
"00NE","Conwy","7.59","22","5.97","21","6.29","20","16.57","34","14.11","30","15.45","33","13.28","30","12.02","27","14.27","45","16.20","53","10.93","37",
"00NG","Denbighshire","9.61","25","9.07","24","1.82","7","12.41","21","15.85","30","12.28","23","9.42","17","11.22","24","14.03","38","10.10","28","11.77","36",
"00NJ","Flintshire","7.13","31","5.13","22","3.66","17","9.45","30","10.84","32","9.61","30","9.61","30","8.13","26","10.73","49","8.90","41","9.27","45",
"00NL","Wrexham","6.29","26","3.95","16","4.15","17","8.62","22","10.83","30","10.54","29","10.74","31","9.60","27","10.34","42","11.28","47","9.28","40",
"00NN","Powys","12.41","46","9.17","30","9.00","33","8.77","23","10.72","29","4.85","16","4.33","13","13.62","38","11.29","44","3.89","20","11.25","47",
"00NQ","Ceredigion","8.79","19","7.40","16","7.40","19","15.33","23","10.76","16","7.21","11","7.08","10","8.20","11","12.48","27","6.88","14","7.96","18",
"00NS","Pembrokeshire","10.81","33","9.46","26","3.37","12","12.66","28","9.62","25","7.23","18","3.26","6","5.70","12","10.22","37","6.24","22","4.50","14",
"00NU","Carmarthenshire","6.83","35","7.85","36","3.78","22","12.38","44","11.69","44","11.68","44","9.98","38","9.88","37","12.69","71","12.33","69","8.85","50",
