"Local Authorities","Name","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 01/02)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 02/03)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 04/05)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 06/07)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 10/11)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 01/02)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 02/03)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 04/05)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 06/07)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 10/11)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 01/02)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 02/03)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 04/05)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 06/07)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 10/11)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population(FY 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 01/02)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 02/03)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 04/05)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 06/07)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 10/11)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females(FY 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(FY 09/10 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 01/02)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 02/03)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 04/05)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 06/07)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 10/11)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males(FY 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 02/03 - 03/04)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 04/05 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 06/07 - 07/08)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 08/09 - 09/10)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (FY 10/11 - 11/12)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 03/04 - 05/06)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 06/07 - 08/09)","Numerator","Emergency Admission Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(FY 09/10 - 11/12)","Numerator",
"00NA","Isle of Anglesey","57.43","35","91.84","52","83.39","47","76.31","45","91.41","51","101.63","59","98.58","54","86.29","48","47.73","26","57.29","32","106.97","59","87.60","99","83.87","96","100.40","113","67.03","74","81.98","91","83.85","143","95.99","161","70.37","117","21.86","12","23.30","13","38.40","22","9.49","5","24.64","13","26.49","22","27.65","24","20.12","16","154.34","87","143.34","83","162.98","91","123.65","69","138.25","78","140.77","121","164.13","137","119.50","101","4.91","9","11.32","19","8.31","14","18.00","11","11.55","8","18.17","11","22.12","14","9.46","6","18.88","11","3.80","4","5.14","4","8.03","7","6.27","6","16.64","12","14.79","19","15.81","20","11.34","15","6.61","11","11.42","18","16.63","31","9.25","19","10.27","25","15.81","15","7.85","10","12.33","16","17.66","16","10.24","9","8.35","9","112.25","70","159.28","99","134.27","79","136.96","91","130.72","80","157.91","97","186.64","117","133.49","87","108.06","73","130.57","85","169.27","103","146.84","178","133.78","171","171.98","214","120.88","160","149.84","188","133.98","250","159.13","301","135.76","261","81.79","26","105.41","35","129.72","37","84.49","30","82.59","27","130.81","43","151.02","51","82.96","27","69.79","24","109.00","37","131.39","41","117.17","72","83.29","57","140.94","94","76.33","51","120.24","78","98.78","94","121.97","121","103.31","102","142.75","44","214.16","64","141.33","42","185.20","60","176.98","53","183.10","54","219.82","66","186.23","60","147.79","49","152.96","48","208.82","62","177.85","106","181.08","113","200.86","120","167.24","109","180.62","110","167.89","155","195.64","180","169.37","159",
"00NC","Gwynedd","51.71","54","83.36","87","82.27","87","60.40","65","72.36","76","90.16","99","97.71","108","80.87","88","58.19","66","49.88","57","80.01","91","82.91","174","66.37","141","93.92","207","69.59","154","64.81","148","71.67","228","89.54","295","62.57","214","20.90","23","16.89","18","36.25","43","15.98","19","20.32","24","18.04","29","32.34","57","16.12","29","147.27","151","117.10","123","153.02","164","123.97","135","108.99","124","126.77","199","147.92","238","109.00","185","3.76","12","7.83","25","3.27","11","13.41","15","9.77","14","22.65","22","10.54","13","12.48","14","16.65","18","16.53","19","17.05","18","11.05","12","16.07","22","20.75","25","16.13","36","11.51","27","16.65","37","13.99","30","18.32","47","15.18","49","16.84","55","15.94","59","11.58","20","13.26","24","11.04","26","18.82","29","20.21","31","20.53","33","126.99","143","136.90","153","151.51","169","132.92","148","139.68","157","146.39","163","165.40","188","128.44","150","112.31","128","133.69","145","127.58","145","144.10","322","136.33","305","155.92","351","120.30","278","130.49","290","141.35","474","147.12","501","124.15","418","76.33","49","86.19","52","118.83","71","84.71","48","71.39","46","102.74","59","94.67","64","76.87","46","74.18","44","95.66","54","100.68","61","102.40","123","77.93","94","99.03","123","75.41","90","98.18","115","91.55","165","91.84","169","89.97","159","177.36","94","188.84","101","184.10","98","182.18","100","207.57","111","191.71","104","234.63","124","181.47","104","150.70","84","171.24","91","154.67","84","186.44","199","194.88","211","213.04","228","166.02","188","162.68","175","191.35","309","203.00","332","158.23","259",
"00NE","Conwy","124.87","111","115.35","102","112.32","99","107.56","90","85.61","73","99.90","84","77.57","63","70.18","58","47.20","42","57.43","53","58.05","49","113.72","201","96.63","163","88.58","147","58.73","100","57.87","102","101.96","262","82.22","205","54.44","144","34.24","31","25.47","22","37.56","33","28.66","25","19.61","23","27.83","37","36.00","47","21.17","34","193.70","170","165.41","141","136.33","114","87.25","75","92.34","79","174.81","225","125.66","158","84.78","110","10.39","26","8.26","20","3.65","10","39.60","40","17.39","17","20.98","26","23.93","21","17.40","18","18.25","19","12.94","14","17.00","22","7.31","11","9.87","10","10.84","11","19.20","43","20.70","39","15.59","33","12.16","33","10.41","21","20.79","65","16.04","55","9.34","32","13.37","27","6.36","13","7.35","17","27.71","38","25.62","42","10.82","15","158.08","161","129.87","132","152.00","151","135.50","140","123.70","128","108.34","112","126.70","127","113.25","118","105.29","114","103.25","107","113.95","116","140.83","283","129.71","268","117.59","239","109.33","232","108.59","223","137.26","419","116.15","357","107.30","337","84.96","51","96.34","52","95.16","57","103.43","58","93.37","50","70.09","39","84.97","48","76.63","42","71.05","43","71.78","42","80.05","44","95.70","109","98.36","108","77.78","87","73.96","85","76.19","86","97.35","165","77.43","129","74.28","129","230.72","110","159.98","78","207.68","94","165.35","82","152.53","78","145.52","73","166.57","79","148.71","76","138.96","71","133.51","65","147.79","72","183.83","172","159.11","160","156.02","152","143.91","147","140.26","137","175.14","254","153.57","228","139.67","208",
"00NG","Denbighshire","130.10","104","163.66","131","140.70","110","92.15","72","119.23","92","89.19","68","91.82","75","81.29","65","70.86","58","60.62","51","47.16","37","151.77","241","105.68","164","90.55","143","76.05","123","53.76","88","117.38","274","87.32","208","59.62","146","46.83","38","57.83","44","39.49","31","21.88","18","23.60","22","49.65","57","33.85","40","22.92","31","258.59","203","152.93","120","139.36","112","129.35","105","83.38","66","185.69","217","138.91","168","95.95","115","6.73","15","9.22","20","8.81","21","27.56","25","17.52","14","20.58","19","21.68","18","16.25","18","21.37","20","9.63","9","10.35","12","12.82","12","13.74","12","10.75","10","19.12","33","18.96","36","15.43","29","11.62","24","12.26","22","19.49","55","13.73","41","12.46","34","14.19","23","7.27","14","10.62","15","24.56","32","20.14","27","14.23","19","190.01","165","149.91","128","158.39","141","144.90","125","131.13","121","146.71","133","126.61","112","136.83","124","113.71","100","115.94","101","88.03","80","154.24","269","137.89","246","136.45","245","125.49","224","102.15","181","144.69","387","136.36","369","105.94","281","108.41","53","95.62","43","98.50","47","112.75","52","68.26","36","75.95","40","94.83","43","106.97","52","70.01","32","96.01","39","68.21","34","97.01","90","90.38","88","85.50","83","88.86","84","82.28","73","93.17","135","92.17","135","78.10","105","271.37","112","201.08","84","218.60","94","177.85","73","193.43","85","216.48","93","159.61","69","166.24","72","157.91","68","138.19","62","107.06","46","210.02","178","185.36","158","187.49","162","162.01","140","122.82","108","196.59","252","180.27","234","134.59","176",
"00NJ","Flintshire","60.82","82","69.19","92","66.08","89","51.63","68","56.62","75","98.54","131","66.98","90","86.12","115","72.46","95","41.39","54","67.55","90","67.63","181","54.16","143","82.79","221","79.38","210","54.39","144","58.16","232","83.85","336","60.48","239","20.79","28","20.53","27","27.24","37","24.07","32","16.55","22","22.21","44","27.74","56","17.64","35","112.20","153","86.75","116","135.65","184","132.06","178","89.80","122","92.62","188","137.37","280","100.71","204","3.23","12","10.80","43","6.80","27","17.33","26","9.20","13","13.93","19","11.40","16","11.17","16","10.60","15","11.45","15","9.40","15","11.08","17","13.28","20","13.40","21","11.56","32","11.29","32","11.00","30","10.24","32","13.36","41","12.18","51","10.46","45","12.62","58","7.96","17","8.82","19","5.33","13","16.40","34","12.26","26","19.98","45","126.73","183","124.20","174","139.78","196","134.03","188","125.67","173","124.32","178","135.22","188","135.95","196","129.46","182","117.30","165","101.33","146","131.89","370","129.86","361","129.87","366","132.82","378","109.45","311","133.29","557","131.98","562","116.19","493","83.81","62","68.20","51","93.40","66","83.06","61","82.45","57","73.05","54","90.27","62","82.33","60","71.56","52","75.26","54","71.49","52","80.78","117","82.69","118","81.86","116","77.09","112","73.47","106","86.28","184","81.96","176","72.88","158","169.21","121","177.32","122","185.99","130","182.00","127","168.49","116","174.00","124","178.84","126","188.92","136","185.73","130","158.53","111","131.04","94","181.27","252","175.30","243","176.44","250","187.51","266","144.89","205","179.07","373","180.79","386","158.57","335",
"00NL","Wrexham","89.28","109","73.35","89","76.82","93","71.13","85","85.88","106","67.05","81","66.55","83","55.52","67","58.90","73","52.37","63","56.05","69","75.03","182","78.52","191","66.78","164","57.16","140","54.28","132","78.06","284","62.98","231","55.81","205","22.10","26","27.40","32","14.72","17","14.09","17","24.89","30","26.38","46","15.71","28","19.95","36","127.05","156","127.85","159","116.97","147","98.30","123","82.11","102","128.12","238","108.49","203","89.80","169","7.91","29","4.58","17","4.97","18","15.80","20","16.79","19","16.12","20","17.44","22","9.37","12","15.42","19","12.77","16","9.91","14","10.69","12","15.79","20","4.23","6","16.39","39","13.40","34","14.15","35","10.28","26","10.00","26","14.27","54","12.75","49","10.22","38","6.73","14","8.66","18","7.40","14","21.77","40","16.57","31","13.03","24","122.92","154","124.54","155","129.42","160","126.15","156","137.72","169","115.36","146","106.79","138","105.36","134","113.39","144","107.90","137","92.55","119","126.86","315","131.82","325","111.16","284","109.43","278","100.16","256","131.06","485","109.14","418","104.56","400","78.19","52","68.68","45","67.61","41","76.71","48","67.76","42","69.17","45","70.60","46","51.28","35","59.49","37","54.93","36","46.97","31","68.17","86","72.30","90","69.91","91","55.48","72","50.73","67","70.75","131","63.70","126","53.74","104","166.00","102","178.91","110","190.54","119","173.98","108","204.88","127","159.64","101","142.86","92","157.63","99","167.03","107","159.72","101","137.24","88","184.51","229","189.23","235","151.42","193","162.38","206","148.60","189","189.68","354","153.36","292","154.68","296",
"00NN","Powys","46.95","46","39.20","38","55.67","54","45.91","44","41.38","42","71.58","70","45.01","44","41.28","44","55.66","53","36.15","38","39.16","40","47.30","92","43.56","86","58.43","114","48.54","97","37.67","78","47.61","140","52.76","158","43.77","131","16.48","16","14.85","17","16.48","17","15.67","16","19.41","20","13.78","23","15.20","24","19.39","29","76.16","76","70.00","69","97.03","97","78.43","81","54.74","58","79.04","117","87.28","134","66.22","102","4.08","12","1.65","6","4.21","12","27.84","35","12.45","13","9.02","12","14.89","17","15.32","19","10.61","13","9.02","11","8.40","9","15.17","21","10.95","14","11.66","19","10.78","25","15.05","36","9.88","24","11.76","30","11.32","33","13.10","48","9.41","33","12.61","54","5.02","13","3.45","7","11.32","27","20.35","35","15.06","26","13.63","27","196.67","236","177.92","201","184.57","214","167.04","191","201.07","230","191.05","217","197.97","227","138.90","166","167.32","200","166.57","194","164.64","200","181.13","415","184.26","421","194.50","444","153.05","366","165.45","394","184.48","635","175.83","610","166.07","594","144.58","94","109.82","64","135.50","83","80.17","49","116.47","72","127.40","74","120.28","72","105.89","62","113.77","71","107.12","69","122.27","75","122.59","147","98.33","121","123.60","146","109.75","133","114.52","144","110.71","204","117.58","208","114.42","215","244.27","141","240.32","136","228.24","131","248.57","142","278.66","158","253.06","143","270.49","155","169.85","104","217.50","129","221.63","125","204.09","125","234.02","267","263.99","300","261.90","298","193.69","233","212.71","250","252.29","431","230.91","402","214.31","379",
"00NQ","Ceredigion","53.95","39","33.67","21","35.16","24","43.29","29","44.17","27","36.28","27","46.74","35","49.34","35","54.73","36","38.67","28","36.34","23","34.50","45","44.06","56","41.49","62","51.88","71","37.65","51","41.02","80","44.12","97","43.21","87","9.53","6","19.96","13","9.88","6","28.93","19","3.88","4","15.85","16","16.69","15","11.64","14","59.83","39","69.03","43","73.40","56","76.24","52","74.82","47","66.99","64","72.19","82","77.69","73","5.76","12","6.43","14","3.46","7","21.71","15","9.90","8","9.16","7","11.57","9","15.97","12","8.92","8","23.61","19","14.30","11","3.55","3","5.56","5","10.24","8","9.54","15","13.81","21","16.29","27","9.00","14","7.85","13","12.25","28","15.56","38","6.40","16","14.34","16","7.45","11","3.89","6","10.08","12","24.12","27","8.82","10","179.61","132","140.11","98","175.48","124","147.31","106","211.92","153","205.95","148","203.34","150","164.46","130","146.72","100","149.45","105","143.19","106","157.76","222","179.57","259","204.74","298","155.55","230","146.13","211","178.25","383","191.51","428","146.17","311","130.47","51","86.49","30","129.74","48","69.65","28","155.37","56","141.78","52","150.65","56","129.25","51","77.04","26","125.12","44","99.26","42","108.16","78","111.71","84","146.37","108","102.98","77","112.18","86","117.84","132","141.12","159","100.24","112","227.97","81","196.20","68","220.52","76","225.92","78","267.86","97","271.54","96","255.53","94","200.12","79","224.35","74","175.37","61","188.40","64","208.08","144","247.68","175","263.96","190","212.48","153","181.46","125","238.70","251","242.88","269","195.68","199",
"00NS","Pembrokeshire","92.24","86","94.20","86","99.58","86","60.31","54","80.78","74","78.68","69","94.05","86","78.92","76","47.40","42","41.34","38","59.91","54","96.79","172","70.59","128","86.60","155","63.18","118","50.58","92","80.32","214","83.83","231","49.47","134","32.10","33","17.87","17","26.24","26","14.72","16","15.68","15","21.10","31","22.39","34","15.50","23","161.65","139","123.81","111","147.12","129","112.65","102","86.28","77","139.66","183","145.41","197","84.19","111","5.80","15","7.91","24","2.18","6","23.81","26","21.35","23","18.18","20","10.98","11","11.26","14","7.76","10","12.02","17","14.41","18","8.73","9","11.33","12","19.00","21","19.82","43","11.15","25","9.90","27","11.64","27","15.22","33","13.48","45","11.36","45","13.07","42","10.11","20","10.04","22","8.36","14","16.70","25","12.60","23","17.92","28","213.25","219","210.57","216","179.45","184","172.64","170","182.18","188","204.67","208","169.80","183","165.58","175","147.97","155","152.58","161","121.80","132","195.18","400","177.45","358","187.24","391","156.71","330","137.13","293","177.86","542","180.08","566","140.73","448","157.44","82","125.46","72","127.92","70","134.70","67","139.79","76","130.34","70","114.85","67","120.01","69","113.81","60","116.69","66","95.66","51","126.88","142","137.11","143","122.66","137","116.84","129","106.09","117","133.74","213","121.89","206","108.75","177","275.23","137","296.13","144","231.40","114","211.04","103","226.94","112","279.59","138","223.50","116","210.73","106","183.89","95","188.78","95","149.17","81","263.81","258","219.27","215","251.41","254","197.51","201","168.86","176","223.01","329","237.72","360","173.65","271",
"00NU","Carmarthenshire","84.05","121","86.72","126","69.33","104","57.93","83","59.88","86","67.62","101","53.99","81","58.92","88","48.60","73","42.17","63","39.20","61","77.99","230","58.97","169","60.75","182","53.78","161","40.68","124","62.42","273","60.25","270","43.32","197","29.10","46","20.08","31","17.89","27","12.79","19","10.65","17","19.44","46","17.23","39","10.40","24","129.75","184","99.63","138","104.97","155","96.10","142","72.06","107","107.47","227","104.59","231","77.47","173","3.60","16","5.12","24","3.15","16","14.31","24","20.47","36","13.08","21","6.99","11","11.45","20","21.03","35","16.06","28","6.80","13","7.96","16","14.77","23","7.98","14","16.73","57","9.22","31","18.55","63","7.39","29","11.39","37","10.47","52","14.54","76","10.24","53","7.89","19","8.23","26","6.98","19","13.47","33","20.86","50","13.66","34","161.97","260","163.80","261","158.07","257","127.95","211","124.22","207","155.21","255","147.51","240","128.92","213","110.94","192","110.03","182","119.26","208","161.09","518","126.07","418","151.35","495","120.02","405","114.71","390","136.60","675","143.61","708","113.51","582","109.15","94","104.28","92","108.99","94","94.16","80","84.22","69","103.63","85","104.41","89","76.87","69","82.55","76","65.51","59","77.85","72","106.68","186","89.16","149","104.36","174","79.76","145","71.79","131","95.69","243","94.98","243","75.40","207","218.10","166","225.15","168","208.98","163","162.70","131","167.32","138","208.19","170","192.32","151","181.02","144","139.97","116","154.94","123","161.43","136","217.06","331","165.11","269","200.01","321","160.63","260","158.17","259","179.51","432","193.37","465","152.16","375",
