"ï»¿""Local Authorities""",Name,"Death Rates (Age-Standardised) per 100,000 population(2001)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2002)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2004)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2006)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2010)",Numerator,"Death Rates (Age-Standardised) per 100,000 population(2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population - 3 Yr Range(2009-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Females - 3 Yr Range(2009-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2002-2003)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2004-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2006-2007)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2008-2009)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 2 Yr Range (2010-2011)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2003-2005)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2006-2008)",Numerator,"Death Rates (Age-Standardised) per 100,000 population, Males - 3 Yr Range(2009-2011)",Numerator
00NA,Isle of Anglesey,13.77,11,12.06,10,11.67,10,17.9,14,17.47,14,9.16,9,10.34,9,14.09,12,11.08,11,16.68,15,6.42,8,11.81,20,17.71,28,9.75,18,12.68,23,11.55,23,15.72,38,11.11,30,11.35,34,9.19,8,16.68,13,7.88,9,4.38,6,5.93,6,13.99,17,6.23,11,5.82,10,14.52,12,18.65,15,11.26,9,21.34,17,17.5,17,17.41,21,16.02,19,17.08,24
00NC,Gwynedd,14,19,12.44,17,6.47,8,15.81,21,9.53,13,9.82,13,22.92,30,10.99,14,16.13,21,16.86,24,15.52,20,9.43,25,12.64,34,16.38,43,13.59,35,16.15,44,10.61,42,14.56,57,16.17,65,9,11,6.23,9,14.09,19,11.76,14,9.28,13,6.63,14,12.75,25,10.64,21,10.11,14,19.28,25,18.86,24,15.58,21,23.81,31,14.74,28,16.47,32,22.32,44
00NE,Conwy,12.61,16,11.82,17,17.94,24,19.1,22,16.79,23,21.41,30,12.1,15,18.76,29,21.1,26,9.53,14,23.01,29,14.84,41,18.01,45,16.7,45,19.91,55,16.25,43,18,69,17.47,74,17.86,69,11.21,17,15.21,21,14.41,21,14.47,19,14.13,20,14.87,31,13.61,29,15.07,31,19.14,24,21.3,24,19.19,24,26.15,36,18.56,23,21.83,38,21.9,45,20.87,38
00NG,Denbighshire,17.45,19,8.5,9,18.48,20,11.89,14,7.99,10,19.24,23,12.51,16,18.58,22,10.92,13,21.92,24,17.38,19,13.5,29,9.91,24,15.85,39,14.72,35,19.72,43,12.77,44,16.83,61,16.8,56,12.53,15,6.07,8,7.84,10,10.08,14,16.05,19,9.68,18,9.59,19,13.21,24,14.32,14,14.02,16,24.69,29,19.62,21,23.64,24,16.02,26,24.75,42,20.63,32
00NJ,Flintshire,11.59,18,10.38,18,13.41,22,14.56,23,8.48,15,10.35,18,14.61,25,16.85,29,11.83,21,11.92,20,6.94,12,11.91,40,11.5,38,12.52,43,14.34,50,9.45,32,12.13,60,13.94,72,10.23,53,6.58,12,10.6,18,6.94,12,10.44,18,8.23,14,9.77,25,8.9,23,8.19,21,17.67,28,12.26,20,18.38,31,18.77,32,11.02,18,14.45,35,19.39,49,12.66,32
00NL,Wrexham,7.46,10,16.47,23,15.06,20,11.61,16,14.28,20,11.6,16,11.4,16,22.52,36,12.06,18,9.8,15,10.08,16,15.72,43,12.95,36,11.46,32,17.24,54,9.93,31,13.64,56,15.24,68,10.69,49,10.89,15,7.72,11,10.6,15,13.12,21,7.69,11,8.43,18,13.35,30,7.68,17,20.89,28,18.35,25,12.56,17,21.9,33,12.64,20,19.04,38,17.73,38,13.98,32
00NN,Powys,12.32,20,7.58,12,6.75,12,7.05,12,11.24,19,8.51,13,7.48,14,8.48,14,6.51,13,8.53,14,12.49,22,7.2,24,9.17,31,7.96,27,7.47,27,10.52,36,8.35,43,8.11,41,9.21,49,8.21,15,8.16,14,7.72,14,4.89,9,7.2,13,7.89,21,6.97,19,6.27,17,5.95,9,10.56,17,8.02,13,10.23,18,14.18,23,8.98,22,9.14,22,12.46,32
00NQ,Ceredigion,9.15,7,9.13,8,8.91,11,15.15,12,7.86,7,12.26,11,7.96,8,11.2,10,15.78,16,9.76,8,8.72,7,8.99,19,11.51,19,10.06,19,13.52,26,9.27,15,10.66,30,10.42,29,11.42,31,2.79,3,11.68,10,5.51,5,8.02,9,7.31,7,8.99,12,5.48,8,8.52,13,15.59,16,11.28,9,15.27,14,19.22,17,11.49,8,12.61,18,15.8,21,14.58,18
00NS,Pembrokeshire,11.25,13,15,20,9.46,14,7.4,12,12.66,18,11.53,16,18.03,26,17.08,24,9.62,15,13.86,20,14.78,20,12.27,34,10.05,30,14.74,42,13.37,39,14.27,40,9.9,44,15.51,66,12.71,55,6.61,10,6.65,11,7.39,11,6.94,12,14.34,21,7.18,17,7.23,17,11.95,27,18.39,24,13.72,19,22.67,31,20.16,27,14.42,19,12.83,27,24.32,49,13.75,28
00NU,Carmarthenshire,12.09,24,13.94,29,12.33,26,16.27,31,13.77,30,11.65,26,8.66,19,15.34,34,11.89,28,18.44,38,10.34,22,13.11,55,15.01,61,10.15,45,13.61,62,14.37,60,14.16,87,11.93,79,13.55,88,6.33,14,9.98,22,5.47,13,9.92,23,7.93,17,8.9,29,7.94,28,7.62,25,20.6,41,20.34,39,15.08,32,17.57,39,21.43,43,19.85,58,16.13,51,20,63
