local_authority,Total number of abortions,Rate per 1000 resident women aged 15-44 ASR 1,95% confidence interval,"Age, Under 18","Age, 18-19","Age, 20-24","Age, 25-29","Age, 30-34","Age, 35+",3 year total for age under 15 2009-2011
Anglesey,167,15.5,14.1 - 17.1,17,30,24,24,10,6,5
Blaenau Gwent,154,12,10.9 - 13.3,7,21,21,13,16,4,2
Bridgend,363,16.1,15.1 - 17.2,16,26,33,20,14,5,5
Caerphilly,476,14.8,14.0 - 15.7,10,25,28,19,14,5,3
Cardiff,"1,268",14,13.5 - 14.5,16,22,20,18,15,6,4
Carmarthen,354,11.9,11.1 - 12.7,8,25,23,15,10,4,3
Ceredigion,148,9.3,8.3 - 10.4,13,13,15,9,9,5,3
Conwy,287,18.8,17.5 - 20.3,14,44,33,23,16,6,3
Denbighshire,265,17.8,16.5 - 19.2,13,41,36,19,13,6,3
Flintshire,455,18.5,17.5 - 19.7,18,33,37,24,13,6,4
Gwynedd,312,14.2,13.2 - 15.2,13,13,18,22,14,9,4
Merthyr Tydfil,190,18.1,16.6 - 19.9,13,23,36,28,15,5,6
Monmouth,175,14.5,13.2 - 16.0,7,25,28,20,11,6,2
Neath & Port Talbot,343,14.4,13.4 - 15.4,11,26,28,20,13,4,3
Newport,465,16.9,16.0 - 17.9,15,26,27,26,16,6,3
Pembroke,270,15.1,14.0 - 16.3,15,23,31,21,12,4,4
Powys,245,13.9,12.8 - 15.0,11,21,22,20,11,6,3
"Rhondda, Cynon, Taff",817,17.8,17.0 - 18.6,17,27,34,25,16,6,4
Swansea,711,14.9,14.2 - 15.6,14,20,25,21,15,6,3
The Vale of Glamorgan,324,15.1,14.1 - 16.2,12,32,31,16,13,5,3
Torfaen,249,15.3,14.2 - 16.6,15,20,28,21,15,5,5
Wrexham,455,19,17.9 - 20.2,17,39,39,21,16,6,5
