health_board,date,less than 4 hours,less than 8 hours,less than 12 hours,more than 12 hours
Abertawe Bro Morgannwg University,Dec 2014 ,11026.0,12932.0,13615.0,618.0
Aneurin Bevan,Dec 2014 ,11174.0,11881.0,12322.0,401.0
Betsi Cadwaladr University,Dec 2014 ,12814.0,15101.0,15882.0,721.0
Cardiff and Vale University,Dec 2014 ,8218.0,10060.0,10618.0,221.0
Cwm Taf,Dec 2014 ,8785.0,9761.0,10067.0,319.0
Hywel Dda,Dec 2014 ,9008.0,10263.0,10620.0,210.0
Powys Teaching,Dec 2014 ,1272.0,1275.0,1275.0,0.0
Abertawe Bro Morgannwg University,Nov 2014,11637.0,13336.0,14013.0,671.0
Aneurin Bevan,Nov 2014,11354.0,11962.0,12294.0,353.0
Betsi Cadwaladr University,Nov 2014,13146.0,15234.0,15876.0,755.0
Cardiff and Vale University,Nov 2014,8603.0,10460.0,10970.0,62.0
Cwm Taf,Nov 2014,9158.0,9843.0,9995.0,126.0
Hywel Dda,Nov 2014,9559.0,10604.0,10827.0,73.0
Powys Teaching,Nov 2014,1311.0,1315.0,1315.0,0.0
Abertawe Bro Morgannwg University,Oct 2014,12405.0,14097.0,14712.0,532.0
Aneurin Bevan,Oct 2014,12282.0,12771.0,13042.0,348.0
Betsi Cadwaladr University,Oct 2014,14511.0,16807.0,17436.0,716.0
Cardiff and Vale University,Oct 2014,9301.0,10946.0,11443.0,90.0
Cwm Taf,Oct 2014,9560.0,10330.0,10488.0,79.0
Hywel Dda,Oct 2014,10187.0,11471.0,11768.0,99.0
Powys Teaching,Oct 2014,1497.0,1504.0,1504.0,0.0
Abertawe Bro Morgannwg University,Sep 2014,13751.0,15235.0,15733.0,363.0
Aneurin Bevan,Sep 2014,12957.0,13650.0,13962.0,283.0
Betsi Cadwaladr University,Sep 2014,15040.0,17430.0,18089.0,585.0
Cardiff and Vale University,Sep 2014,9544.0,10883.0,11183.0,51.0
Cwm Taf,Sep 2014,9948.0,10866.0,10995.0,96.0
Hywel Dda,Sep 2014,10701.0,11950.0,12195.0,66.0
Powys Teaching,Sep 2014,1490.0,1492.0,1492.0,0.0
Abertawe Bro Morgannwg University,August 2014,12855.0,14661.0,15128.0,202.0
Aneurin Bevan,August 2014,11861.0,12615.0,12908.0,202.0
Betsi Cadwaladr University,August 2014,16919.0,19265.0,19748.0,509.0
Cardiff and Vale University,August 2014,9099.0,10438.0,10694.0,10.0
Cwm Taf,August 2014,9203.0,10042.0,10152.0,47.0
Hywel Dda,August 2014,11200.0,12377.0,12550.0,99.0
Powys Teaching,August 2014,1553.0,1554.0,1554.0,1.0
Abertawe Bro Morgannwg University,Jul 202014,14030.0,16201.0,16709.0,158.0
Aneurin Bevan,Jul 202014,13602.0,14420.0,14829.0,180.0
Betsi Cadwaladr University,Jul 202014,17484.0,20000.0,20504.0,383.0
Cardiff and Vale University,Jul 202014,10289.0,11473.0,11703.0,13.0
Cwm Taf,Jul 202014,10440.0,11268.0,11421.0,31.0
Hywel Dda,Jul 202014,11989.0,12867.0,12999.0,87.0
Powys Teaching,Jul 202014,1881.0,1882.0,1884.0,0.0
Abertawe Bro Morgannwg University,June 2014,13618.0,15791.0,16206.0,132.0
Aneurin Bevan,June 2014,13496.0,14257.0,14583.0,182.0
Betsi Cadwaladr University,June 2014,16889.0,19236.0,19742.0,381.0
Cardiff and Vale University,June 2014,10580.0,11482.0,11663.0,19.0
Cwm Taf,June 2014,9948.0,10827.0,10942.0,50.0
Hywel Dda,June 2014,11204.0,12089.0,12269.0,136.0
Powys Teaching,June 2014,1723.0,1726.0,1726.0,0.0
Abertawe Bro Morgannwg University,May2014,13171.0,14936.0,15547.0,290.0
Aneurin Bevan,May2014,12687.0,13342.0,13703.0,160.0
Betsi Cadwaladr University,May2014,16881.0,18946.0,19521.0,441.0
Cardiff and Vale University,May2014,10456.0,11606.0,11741.0,20.0
Cwm Taf,May2014,10175.0,10983.0,11108.0,53.0
Hywel Dda,May2014,10958.0,12013.0,12256.0,187.0
Powys Teaching,May2014,1574.0,1576.0,1576.0,0.0
Abertawe Bro Morgannwg University,Apr 2014,13398.0,15109.0,15559.0,176.0
Aneurin Bevan,Apr 2014,12470.0,13035.0,13350.0,230.0
Betsi Cadwaladr University,Apr 2014,16116.0,18200.0,18637.0,283.0
