health_board,date,less than 4 hours percent,less than 8 hours percent,less than 12 hours percent,more than 12 hours
Abertawe Bro Morgannwg University,Dec 2014 ,0.7746785639007939,0.908592707089159,0.9565797793859341,618.0
Aneurin Bevan,Dec 2014 ,0.8782519845948282,0.933820639786214,0.9684822761927219,401.0
Betsi Cadwaladr University,Dec 2014 ,0.7717882310425827,0.9095344214900921,0.9565741131120882,721.0
Cardiff and Vale University,Dec 2014 ,0.7581880247255282,0.9281299012824061,0.9796106651905158,221.0
Cwm Taf,Dec 2014 ,0.8458501829385712,0.9398228384363566,0.9692855767379164,319.0
Hywel Dda,Dec 2014 ,0.8317636195752539,0.9476454293628809,0.9806094182825484,210.0
Powys Teaching,Dec 2014 ,0.9976470588235294,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Nov 2014,0.792495232906565,0.9081994007082539,0.9543040043584854,671.0
Aneurin Bevan,Nov 2014,0.897762315173559,0.9458369573811971,0.9720882422708943,353.0
Betsi Cadwaladr University,Nov 2014,0.7904515663519933,0.9160002405147014,0.9546028500992123,755.0
Cardiff and Vale University,Nov 2014,0.7798223350253807,0.948150833937636,0.9943799854967368,62.0
Cwm Taf,Nov 2014,0.9048512992787274,0.9725323584626026,0.9875506372888054,126.0
Hywel Dda,Nov 2014,0.8769724770642202,0.9728440366972477,0.993302752293578,73.0
Powys Teaching,Nov 2014,0.996958174904943,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Oct 2014,0.8137627919181317,0.9247572815533981,0.9651010233534505,532.0
Aneurin Bevan,Oct 2014,0.9172516803584765,0.9537714712471994,0.9740104555638536,348.0
Betsi Cadwaladr University,Oct 2014,0.7994160423093873,0.9259034817100044,0.9605553107095637,716.0
Cardiff and Vale University,Oct 2014,0.8064683950403191,0.9491025752189369,0.9921963062516258,90.0
Cwm Taf,Oct 2014,0.9047033216617772,0.9775716854357906,0.9925238951452635,79.0
Hywel Dda,Oct 2014,0.8584309429510407,0.9666301508384596,0.9916575377096148,99.0
Powys Teaching,Oct 2014,0.995345744680851,1.0,1.0,0.0
Abertawe Bro Morgannwg University,Sep 2014,0.8543116302186878,0.946508449304175,0.9774478131212724,363.0
