local_authority,2008,2009,2010,2011,2012,2013
Blaenau Gwent,867.00,791.00,804.00,789.00,781.00,807.00
Bridgend,1630.00,1536.00,1666.00,1728.00,1624.00,1540.00
Caerphilly,2223.00,2140.00,2280.00,2091.00,2114.00,1990.00
Cardiff,4566.00,4623.00,4757.00,4770.00,4709.00,4624.00
Carmarthenshire,1971.00,1877.00,1963.00,1932.00,1995.00,1815.00
Ceredigion,603.00,651.00,720.00,613.00,676.00,638.00
Conwy,1163.00,1135.00,1169.00,1187.00,1178.00,1070.00
Denbighshire,1076.00,1039.00,1048.00,1100.00,1047.00,1017.00
Flintshire,1743.00,1754.00,1808.00,1701.00,1689.00,1657.00
Gwynedd,1276.00,1338.00,1270.00,1319.00,1327.00,1229.00
Isle of Anglesey,780.00,775.00,828.00,771.00,835.00,763.00
Merthyr Tydfil,781.00,696.00,718.00,764.00,767.00,673.00
Monmouthshire,919.00,802.00,861.00,786.00,821.00,792.00
Neath Port Talbot,1551.00,1573.00,1618.00,1596.00,1520.00,1495.00
Newport,1999.00,1947.00,1983.00,1910.00,1894.00,1953.00
Pembrokeshire,1251.00,1277.00,1294.00,1301.00,1307.00,1136.00
Powys,1280.00,1255.00,1205.00,1232.00,1190.00,1230.00
Rhondda Cynon Taf,2908.00,2904.00,2976.00,3007.00,2788.00,2808.00
Swansea,2732.00,2581.00,2792.00,2725.00,2730.00,2488.00
The Vale of Glamorgan,1482.00,1464.00,1432.00,1457.00,1370.00,1368.00
Torfaen,1056.00,1090.00,1079.00,1089.00,1126.00,1039.00
Wrexham,1793.00,1689.00,1681.00,1730.00,1750.00,1615.00
