health_board,2009-10,2010-11,2011-12,2012-13
Hywel Dda,1759.487828,1820.129144,1804.716096,1808.834926
Cwm Taf,1851.497995,1870.655872,1909.541382,1903.962254
Abertawe Bro Morgannwg,1714.730103,1754.07101,1759.118635,1765.571775
Aneurin Bevan,1720.691321,1744.055738,1734.218756,1744.679807
Betsi Cadwaladr University,1757.140429,1771.110928,1782.303154,1797.805477
Cardiff and Vale University,1539.288476,1596.329099,1605.545778,1607.481266
Powys Teaching,1804.046886,1857.655837,1829.299512,1822.795989
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
