LAD12CD,LAD12CDO,LAD12NM
W06000001,00NA,Isle of Anglesey
W06000002,00NC,Gwynedd
W06000003,00NE,Conwy
W06000004,00NG,Denbighshire
W06000005,00NJ,Flintshire
W06000006,00NL,Wrexham
W06000023,00NN,Powys
W06000008,00NQ,Ceredigion
W06000009,00NS,Pembrokeshire
W06000010,00NU,Carmarthenshire
W06000011,00NX,Swansea
W06000012,00NZ,Neath Port Talbot
W06000013,00PB,Bridgend
W06000014,00PD,The Vale of Glamorgan
W06000016,00PF,Rhondda Cynon Taf
W06000024,00PH,Merthyr Tydfil
W06000018,00PK,Caerphilly
W06000019,00PL,Blaenau Gwent
W06000020,00PM,Torfaen
W06000021,00PP,Monmouthshire
W06000022,00PR,Newport
W06000015,00PT,Cardiff
