,Betsi Cadwaladr University Health Board,Hywel Dda University Health Board,Powys Teaching Health Board,Abertawe Bro Morgannwg University Health Board,Cwm Taf University Health Board,Aneurin Bevan University Health Board,Cardiff and Vale University Health Board
Total population,"6,92,000","3,83,900","1,32,700","5,20,700","2,95,100","5,79,100","4,78,900"
Population aged 75 and over (%),9.6,10.1,11.1,8.7,7.9,8.3,7.2
Life expectancy at birth - males,77.6 years,77.9 years,79.5 years,76.6 years,75.3 years,76.9 years,77.4 years
Life expectancy at birth - females,81.7 years,82.1 years,83.2 years,81.2 years,79.9 years,81.4 years,82.1 years
Adults who are overweight or obese (%),55.8,57,54.6,59.2,64.5,61.2,53.5
Adults who smoke (%),23.1,21.3,21.4,23.6,25.5,22.7,20.7
Adults who drink above guidelines (%),42.9,39,39.4,44.5,44.8,43.3,43.8
MMR uptake (%),95.8,93.7,93.4,93.9,95,94.7,94.1
Live births per 1000 women aged 15-44,64.8,60.4,58.5,60,61.7,61.8,58.1
"Emergency hospital admissions (European age standardised rate per 1,000 population aged under 75)",61.8,61.3,52,67.1,77.6,77.2,58.3
