Local Auth,Total number of abortions,95% confidence interval,"Age, Under 18","Age, 18-19","Age, 20-24","Age, 25-29","Age, 30-34","Age, 35+",3 year total for age under 15 2009-2011
Anglesey,167,143 - 194,21,23,41,39,17,26,18
Blaenau Gwent,154,131 - 180,10,19,48,27,29,21,9
Bridgend,363,327 - 402,37,39,119,73,48,47,33
Caerphilly,476,434 - 521,33,54,146,103,73,67,34
Cardiff,"1,268","1,199 - 1,340",87,144,437,299,163,138,64
Carmarthen,354,318 - 393,28,54,109,71,47,45,25
Ceredigion,148,125 - 174,17,24,58,18,13,18,11
Conwy,287,255 - 322,27,49,76,53,39,43,19
Denbighshire,265,234 - 299,25,45,85,40,31,39,15
Flintshire,455,414 - 499,49,56,136,98,53,63,30
Gwynedd,312,278 - 349,29,28,88,67,38,62,28
Merthyr Tydfil,190,164 - 219,14,17,65,52,21,21,21
Monmouth,175,150 - 203,12,24,50,33,19,37,11
Neath & Port Talbot,343,308 - 381,26,40,110,81,46,40,23
Newport,465,424 - 509,41,53,138,110,60,63,26
Pembroke,270,239 - 304,36,33,82,57,33,29,25
Powys,245,215 - 278,29,28,56,52,28,52,22
"Rhondda, Cynon, Taff",817,762 - 875,72,84,275,186,106,94,53
Swansea,711,660 - 765,52,73,254,157,89,86,36
The Vale of Glamorgan,324,290 - 361,30,47,105,54,45,43,21
Torfaen,249,219 - 282,27,23,77,54,36,32,27
Wrexham,455,414 - 499,39,60,149,89,63,55,35
