Local Auth,"Purchaser, NHS Funded, NHS Hospital (%)","Purchaser, NHS Funded, Independent Sector (%)","Purchaser, Privately Funded (%)","Gestation weeks, 3-9 (%)","Gestation weeks, 10-12 (%)","Gestation weeks, 13+ (%)",Total NHS funded abortion,NHS abortion funded at under 10 weeks,Percentage of all NHS funded abortions under 10 weeks,95% confidence interval,Repeat abortions in women aged under 25,,,,,,,,,,
Anglesey,15,84,1,77,11,11,165,137,83,77 - 88,18,,,,,,,,,,
Blaenau Gwent,74,21,5,68,26,6,146,121,83,76 - 88,13,,,,,,,,,,
Bridgend,91,1,9,59,30,10,332,244,73,68 - 78,23,,,,,,,,,,
Caerphilly,78,15,7,77,17,5,442,395,89,86 - 92,14,,,,,,,,,,
Cardiff,76,7,17,56,32,13,"1,051",662,63,60 - 66,23,,,,,,,,,,
Carmarthen,94,0,5,68,24,8,335,258,77,72 - 81,24,,,,,,,,,,
Ceredigion,95,1,3,74,19,7,143,121,85,78 - 90,12,,,,,,,,,,
Conwy,13,83,4,80,11,9,276,234,85,80 - 89,25,,,,,,,,,,
Denbighshire,11,87,2,83,11,6,260,230,88,84 - 92,20,,,,,,,,,,
Flintshire,7,93,0,83,11,7,453,400,88,85 - 91,22,,,,,,,,,,
Gwynedd,15,81,3,78,10,13,302,245,81,76 - 85,27,,,,,,,,,,
Merthyr Tydfil,96,2,2,72,21,7,186,153,82,76 - 87,23,,,,,,,,,,
Monmouth,71,22,7,69,20,11,163,130,80,73 - 85,19,,,,,,,,,,
Neath & Port Talbot,95,2,3,63,24,13,331,248,75,70 - 79,26,,,,,,,,,,
Newport,71,22,7,72,20,8,432,368,85,82 - 88,21,,,,,,,,,,
Pembroke,81,8,10,76,19,6,242,213,88,83 - 92,23,,,,,,,,,,
Powys,84,8,9,74,15,11,224,177,79,73 - 84,19,,,,,,,,,,
"Rhondda, Cynon, Taff",91,2,6,69,22,9,766,635,83,80 - 85,23,,,,,,,,,,
Swansea,93,1,6,64,24,12,666,500,75,72 - 78,23,,,,,,,,,,
The Vale of Glamorgan,79,5,16,61,27,13,272,190,70,64 - 75,23,,,,,,,,,,
Torfaen,78,20,2,71,23,6,245,208,85,80 - 89,18,,,,,,,,,,
Wrexham,3,97,0,80,9,11,453,381,84,80 - 87,29,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
