Local Auth,2009,2010,2011,2012,2013
Anglesey,18.6,17.4,15.5,16.0,15.8
Blaenau Gwent,14.1,15.8,12.0,11.9,12.3
Bridgend,15.5,15.8,16.1,16.6,14.4
Caerphilly,15.9,14.9,14.8,14.2,11.7
Cardiff,15.0,14.3,14.0,14.4,12.8
Carmarthen,12.8,12.9,11.9,14.2,12.2
Ceredigion,7.7,9.7,9.3,9.4,9.2
Conwy,20.8,20.7,18.8,17.7,17.0
Denbighshire,18.3,18.3,17.8,16.5,15.7
Flintshire,16.8,17.2,18.5,16.1,16.5
Gwynedd,15.1,15.1,14.2,14.2,11.8
Merthyr Tydfil,15.9,13.8,18.1,5.8,14.5
Monmouth,11.8,14.9,14.5,11.2,13.7
Neath & Port Talbot,16.4,16.9,14.4,15.1,14.3
Newport,18.3,16.6,16.9,41.5,14.4
Pembroke,16.0,17.6,15.1,14.6,12.9
Powys,13.7,15.1,13.9,13.0,12.7
"Rhondda, Cynon, Taff",16.7,16.8,17.8,17.8,16.8
Swansea,15.8,14.0,14.9,15.2,12.9
The Vale of Glamorgan,15.8,15.3,15.1,16.8,13.8
Torfaen,18.4,16.4,15.3,16.4,15.5
Wrexham,18.0,18.0,19.0,17.1,18.1
