local_authority,1991-1993,1992-1994,1993-1995,1994-1996,1995-1997,1996-1998,1997-1999,1998-2000,1999-2001,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012
Blaenau Gwent,78.2,78.1,78.4,77.7,77.5,77.8,77.8,78.3,78.1,78.8,78.4,78.4,78.4,78.6,78.6,78.7,79,79.6,79.9,79.9
Bridgend,78.3,78.4,78.6,79,79,79.1,78.8,78.7,79.1,79.5,79.5,79.6,80,80.2,80.2,80.2,81.2,81.4,81.3,80.6
Caerphilly,78.2,78.2,78.1,77.9,77.6,77.8,78.1,78.4,78.7,79.1,79.4,79.4,79.3,79.9,80.3,80.9,81,81.3,81.7,81.5
Cardiff,79.1,79.4,79.3,79.6,79.6,79.8,79.6,79.6,79.8,80.2,80.3,80.5,80.7,81.4,81.6,81.8,81.9,81.9,82.4,82.7
Carmarthenshire,78.8,78.9,79.1,79,78.8,78.8,79.3,79.6,79.9,79.9,79.9,80.2,80.7,81.1,81.4,81.3,81.3,81.7,82.3,82.6
Ceredigion,79.5,80.3,80.2,80.9,80.5,81.2,81.3,81.7,81.8,81.9,81.7,81.5,82.1,82.8,83.8,83.9,83.8,83.4,83.5,83.9
Conwy,80.2,80.3,80.1,80.1,80,80.1,79.7,80,80.1,80.3,80.5,80.8,81.2,81.4,81.5,81.6,81.9,82,82.4,82.6
Denbighshire,79.7,79.3,79.7,79.7,79.9,79.8,79.5,79.6,79.6,80,79.8,80.3,80,80.6,80.8,81.1,80.6,80.4,80.9,81.2
Flintshire,78.8,78.8,78.7,78.8,78.9,79.2,79.5,80,79.7,80.2,80.2,80.9,80.7,81.2,81.4,81.8,82,82,82.4,82.4
Gwynedd,79.7,79.8,79.6,79.9,80.4,80.7,80.7,80.6,80.9,81.1,80.9,80.7,81,81.7,82.1,82.1,82.2,82.3,83.3,83.1
Isle of Anglesey,79.7,79.7,79.4,79.7,79.7,79.9,79.9,79.9,80.3,80.5,80.6,81.2,81.4,82.3,82.4,83,82.3,82.1,82.3,83
Merthyr Tydfil,77.3,77.5,77.8,77,76.6,76.3,77.1,77.2,77.6,78.1,78.4,78.2,78.6,79.2,79.5,79.7,79.5,80.4,80.8,81.1
Monmouthshire,80,80.3,80.8,80.9,80.3,80.4,80.6,82,82.3,81.9,81.4,81.3,82.7,83.3,83.7,83.4,83.4,83.8,83.9,83.9
Neath Port Talbot,78,78.3,78.4,78.9,78.9,79.1,79.2,79.1,78.9,79.4,79.8,80.1,80.4,80.3,80.6,80.4,80.7,80.9,81,81.2
Newport,78.2,78.2,78.4,78.8,79.2,79.5,79.5,79.8,79.8,80.3,80.4,80.6,80.3,80.5,80.7,81.2,81.6,82.1,82.2,82.1
Pembrokeshire,79.4,79.8,79.5,79.7,79.7,79.8,79.7,79.8,80.5,80.3,80.3,80.4,81,81.5,81.7,82,82.3,82.3,82.7,82.5
Powys,79.8,79.9,79.8,79.9,80.1,80.3,80.8,81.2,81.7,81.4,80.9,81,81.3,81.8,82.1,82.7,83.2,83.3,83.5,83.5
"Rhondda, Cynon, Taff",78,78.2,77.9,78,77.7,77.9,78,78.4,78.7,79.1,79.1,79.2,79.4,80,79.9,79.9,79.9,80.3,80.8,81
Swansea,78.6,79.1,79,79.5,79.1,79.6,79.5,79.8,79.8,80,80.2,80.5,80.8,81,81,81.1,81.6,82.1,82.4,82.2
The Vale of Glamorgan,79,79.3,79.4,79.4,79.6,79.7,80.1,80.1,80.5,80.6,81,80.9,80.8,81.2,81.7,82.4,82.6,82.8,83.4,83.4
Torfaen,78.1,78,78.2,78.4,78.6,78.9,78.8,79.1,79,79.4,80.1,80.6,81,81.2,81,80.8,80.8,81.5,82.3,82.1
Wales,78.85,79,78.99,79.15,79.11,79.3,79.36,79.6,79.76,80.04,80.11,80.29,80.54,80.96,81.17,81.34,81.53,81.78,82.16,82.2
Wrexham,78.8,78.9,78.7,78.8,78.6,79,79.2,79.3,79.3,79.4,79.7,79.9,80.2,80.4,80.5,80.7,80.9,81.2,81.6,82
