local_authority,1991-1993,1992-1994,1993-1995,1994-1996,1995-1997,1996-1998,1997-1999,1998-2000,1999-2001,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012
Blaenau Gwent,71.9,72.1,72.2,72,72.4,72.8,72.7,72.6,72.7,73.3,73.6,73.9,74.2,74.8,75.2,76.63,75.6,75.9,76,75.7
Bridgend,72.8,73.3,73.3,73.5,73,73.1,73.3,73.9,74.7,75.4,75.5,75.5,75.6,76,75.9,77.3,76.4,76.9,76.9,77
Caerphilly,72.6,72.6,72.9,73.1,73.4,73.5,73.6,73.5,73.7,74.1,74.6,74.8,75.3,75.6,75.9,76.9,76.2,76.8,77.4,77.6
Cardiff,73.4,73.7,73.6,74,73.9,74.5,74.5,74.8,74.7,75.1,75.5,75.9,76.2,76.6,76.5,76.6,77,77.8,78.2,78.2
Carmarthenshire,73.2,73.2,73.1,73.6,73.6,74.3,74.3,74.8,74.6,75.1,74.9,75.4,75.6,75.9,76.3,76.5,77.4,77.7,78.3,78.5
Ceredigion,74.7,75,74.9,75.3,76.2,77.2,77,77.2,77.6,78.6,78.5,77.5,77.3,78.2,79.3,76.7,79.9,80.1,79.8,79.9
Conwy,74.4,74.6,74.4,75,74.7,74.7,74.4,74.7,75,75.5,75.7,75.8,76.3,76.6,77,76.8,77.3,78,78.2,79
Denbighshire,74.1,74.1,74.1,74,73.8,73.5,73.8,74.3,74.8,75.9,76.2,76.4,76.3,76.5,77,78.2,77.6,77.7,78.1,78.3
Flintshire,73.1,73.6,73.9,74.3,74.3,74.9,74.7,75,75.3,76.2,76.3,76.1,76.3,76.7,77.5,78.2,78.1,78.3,78.9,79
Gwynedd,73.6,74.1,74.4,74.7,75.1,74.9,75,75.1,76,76.4,76.9,76.8,76.9,76.9,77.2,76.6,77.5,77.7,78.3,78.8
Isle of Anglesey,73.5,73.7,73.6,74.2,74.8,75.2,75.2,75.4,75.8,76.1,76.3,76.7,77.1,77.3,77,75.9,77,77.3,78,78.5
Merthyr Tydfil,71.3,71.1,70.6,71.2,71.2,71.9,72.1,72.1,72.8,73.3,73.5,73.9,74.4,75.5,75.6,76.4,74.9,75.7,76.4,77.4
Monmouthshire,74.9,75.2,75.2,75.4,75.7,76,75.7,75.7,75.8,76.7,77,78,78.4,78.8,78.7,76,79.6,80.4,80.5,80.1
Neath Port Talbot,72.6,72.5,72.6,72.3,72.4,72.8,73.5,74,74,74,74.2,74.5,75.2,76,76.4,76,76.2,76.4,76.6,76.6
Newport,72.8,72.8,73.2,73.5,73.4,73.7,74,74.6,74.4,74.5,74.7,75.3,76,76.7,77.1,77.7,76.8,76.9,77.7,77.9
Pembrokeshire,74.2,74.3,74.1,74.2,74.1,74.6,74.4,74.8,74.7,75,75.1,76,76,76.6,76.8,76.6,77.6,78.2,78.8,79.4
Powys,74.2,74.6,74.5,74.9,75.4,75.8,75.8,75.9,76.4,76.7,77,77.4,77.8,78.2,78.4,75.6,79.3,79.5,79.6,80
"Rhondda, Cynon, Taff",72.1,72.3,71.9,72.2,72.4,72.9,73.1,73.3,73.6,74,74.2,74.8,75.1,75.6,75,75.5,75.4,76.1,75.8,76.4
Swansea,73.5,73.7,73.6,73.9,74,74.3,74.5,74.7,75.2,75.6,75.4,75.7,75.7,76.4,76.4,75.6,76.8,77.2,77.1,77.6
The Vale of Glamorgan,74.1,74,73.8,74.3,74.6,75.1,75.1,75.5,75.9,76.1,76,76,76.9,77.7,77.7,74.8,78.1,78.8,79.4,79.6
Torfaen,72.5,72.8,72.7,73.3,73.6,74.2,74.3,74.5,74.9,75.5,75.5,75.9,76.2,77.3,77.1,77.3,76.6,77.3,77.7,77.6
Wrexham,73,72.8,72.8,73.3,73.6,74.1,74.3,74.7,75,75.4,75.6,75.8,76.2,76.8,77.1,78.8,77.18,77.62,77.95,78.2
,,,,,,,,,,,,,,,,76.7,77.3,77.5,78.1,78.2
