Health and social care > Life expectancy > Life expectancy by local authority and gender,,
,,
,,
Filters:,,
Year: 2001-03,,
,,
,Males,Females
Wales,75.5,80.11
Isle of Anglesey,76.3,80.6
Gwynedd,76.9,80.9
Conwy,75.7,80.5
Denbighshire,76.2,79.8
Flintshire,76.3,80.2
Wrexham,75.6,79.7
Powys,77,80.9
Ceredigion,78.5,81.7
Pembrokeshire,75.1,80.3
Carmarthenshire,74.9,79.9
Swansea,75.4,80.2
Neath Port Talbot,74.2,79.8
Bridgend,75.5,79.5
The Vale of Glamorgan,76,81
Cardiff,75.5,80.3
"Rhondda, Cynon, Taff",74.2,79.1
Merthyr Tydfil,73.5,78.4
Caerphilly,74.6,79.4
Blaenau Gwent,73.6,78.4
Torfaen,75.5,80.1
Monmouthshire,77,81.4
Newport,74.7,80.4
,,
,,
,,
Metadata:,,
Title,Life expectancy,
Author,"Health Statistics and Analysis Unit, Welsh Government",
Notes 1,"Added to StatWales: 19 November 2013
Next update: Autumn 2014 (provisional)
Source: Office for National Statistics (ONS)
Contact: Stats.healthinfo@wales.gsi.gov.uk
The figures in this table are constructed from the estimated population and total deaths by single year / quinary age each year, based on a three year average. The expected years of life is the lifetime of a newborn person if they were subject throughout their lives to the average recorded death rate of the three year period. Such a calculation excludes future inprovements to mortality rates.
Data relating to the period 2002 to 2010 were revised by ONS following revisions to mid-year population estimates in light of the 2011 Census. The revised figures are shown here.",
Keywords,Life expectancy,
