,Males,Females
Blaenau Gwent,75.7,79.9
Bridgend,77,80.6
Caerphilly,77.6,81.5
Cardiff,78.2,82.7
Carmarthenshire,78.5,82.6
Ceredigion,79.9,83.9
Conwy,79,82.6
Denbighshire,78.3,81.2
Flintshire,79,82.4
Gwynedd,78.8,83.1
Isle of Anglesey,78.5,83
Merthyr Tydfil,77.4,81.1
Monmouthshire,80.1,83.9
Neath Port Talbot,76.6,81.2
Newport,77.9,82.1
Pembrokeshire,79.4,82.5
Powys,80,83.5
"Rhondda, Cynon, Taff",76.4,81
Swansea,77.6,82.2
The Vale of Glamorgan,79.6,83.4
Torfaen,77.6,82.1
Wales,78.2,82.2
Wrexham,78.2,82
